,Tube_ID,row_counter,Lake_name,Invasion_category,Sample_type,Sample_origin,Collected_year,Collected_month_number,Littoral_zoobenthic_macroinvert_community_sample,Transect,Lat,Long,Sample_depth,Total_count,Vial_count,Functional_feeding_group,Method_of_take,real.name,Functional_group,Common_name,Scientific_name,Total_length_mm,Weight_g,Tube_box,Tube_size_ml,Preservative,Isotope_sample_weight_mg,Davis_ID_long,d13C,Total.C..µg.,d15N,Total.N..µg.,Type.of.Material,Sample.Weight..mg..from.Sample.List,Internal.ID,Lake_max_depth_m,Lake_surface_elev_m,Current_conversion,Secchi_m,Surface_area_ha,n,d13C_baseline,d13C_base_se,d15N_baseline,d15N_base_se,d13C_corr,d15N_corr,Lake_elevation,Lake_area,Lake_depth,Collected_date,Collected_month_name_long,Collected_month_name_short,Collected_time,Depth,Total._count,Remove.from.case,Approx.weight.of.tube..g.,Notes1,Notes2,Wet.weight.tube..g.,In_oven_date,Oven_temp_C,Test1.date,Test1.weight.tube..g.,Test2.date,Test2.weight.tube..g.,Daily.change,Test.3.date,Test.3.weight..g.,Daily.change.1,Out_oven_date,Dry_time_h,Est.pre.powder.dry.sample.in.tube..g.,Est...isotope.samples.in.tube,Powder.complete.date,Post.powder.Powder.tube.weight..g.,Powder.lost..g.,Powder.available.for.isotope.caps..g.,Est.number.of.isotope.caps.possible.from.powder,Cell.well.tray,Mixed.sample..Y.N,Count.of.individuals,Weight.of.individual,Mixed.with.which.tube.,Powder.weight.contributed..mg.,Empty.,Well_Row,Well_Column,Isotope_sample_ID_.year.tray.x.y.,Isotope_sample_complete_date
299,ADAJ,251,Bowman,Late,Fish,Autochthonous,2019,8,NO,NA,48.828249,-114.196337,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,53,2.4,2019-AD,1.5,Ethanol,0.907,SIERRA-A-10,-29.69,423.32,5.82,111.58,Fish,0.907,1669544,77,1228,0.91,13.33,910,15,-28.276,0.256377326,0.964,0.310291414,-1.414,4.856,1228,910,77,8/1/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,0.907,N,E,10,2019-SEP-15-001-E-10,9/15/2019
300,ADAK,227,Bowman,Late,Fish,Autochthonous,2019,8,NO,NA,48.828249,-114.196337,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,51,2.6,2019-AD,1.5,Ethanol,1.05,SIERRA-A-11,-28.1,580.44,5.67,135.84,Fish,1.05,1669545,77,1228,0.91,13.33,910,15,-28.276,0.256377326,0.964,0.310291414,0.176,4.706,1228,910,77,8/1/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,1.05,N,E,11,2019-SEP-15-001-E-11,9/15/2019
301,ADB,760,Logging,Mid,Fish,Autochthonous,2018,6,NO,NA,NA,NA,NA,1,1,NA,Hook and line,Cutthroat trout,Generalist fish,Cutthroat trout,Oncorhynchus clarkii lewisi,349,319,2018-A,1.5,Ethanol,0.963,BRAVO-E-12,-28.37,465.47,8.61,148.14,Fish,0.963,1667962,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-7.218,7.624666667,1369,329,80,6/7/2018,June,Jun,15:05,NA,1,NA,0.9862,,,2.233,10/29/2018 16:41,60,10/30/2018 15:14,1.085,10/31/2018 16:25,1.085,0.00%,,1.085,0.00%,11/1/2018 16:34,72,0.0988,98.8,11/23/2018,1.085,0,0.0988,98.8,2018-NOV-21-001,N,,,NA,0.963,N,H,6,2018-NOV-21-001-H-6,11/23/2018
302,ADBF,845,Logging,Mid,Fish,Autochthonous,2019,8,NO,NA,48.735221,-114.137075,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,55,4.1,2019-AD,1.5,Ethanol,0.96,OSCAR-C-03,-29.07,660.68,5.79,92.75,Fish,0.96,1669177,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-7.918,4.804666667,1369,329,80,8/2/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-OCT-26-002,N,,,NA,0.96,N,B,9,2019-OCT-26-002-B-9,10/26/2019
303,ADBI,838,Logging,Mid,Fish,Autochthonous,2019,8,NO,NA,48.735221,-114.137075,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,59,3.1,2019-AD,1.5,Ethanol,0.92,OSCAR-C-04,-31.66,548.05,5.69,94.64,Fish,0.92,1669178,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-10.508,4.704666667,1369,329,80,8/2/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-OCT-26-002,N,,,NA,0.92,N,B,10,2019-OCT-26-002-B-10,10/26/2019
304,ADBY,315,Hungry Horse,Reference,Fish,Autochthonous,2019,8,NO,NA,48.018704,-113.585887,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,61,3.5,2019-AD,1.5,Ethanol,0.916,SIERRA-A-12,-31.7,522.21,5.05,74.81,Fish,0.916,1669546,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-3.271666667,4.015833333,1112,9630,149,8/3/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,0.916,N,G,2,2019-SEP-15-001-G-2,9/15/2019
305,ADCB,295,Hungry Horse,Reference,Fish,Autochthonous,2019,8,NO,NA,48.018704,-113.585887,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,71,4.1,2019-AD,1.5,Ethanol,0.935,SIERRA-B-01,-30.68,427.77,7.22,71.16,Fish,0.935,1669547,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-2.251666667,6.185833333,1112,9630,149,8/3/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,0.935,N,G,5,2019-SEP-15-001-G-5,9/15/2019
306,ADCJ,299,Hungry Horse,Reference,Fish,Autochthonous,2019,8,NO,NA,48.018704,-113.585887,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,66,3.3,2019-AD,1.5,Ethanol,1.019,SIERRA-B-02,-30.13,586.03,6.48,112.02,Fish,1.019,1669548,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.701666667,5.445833333,1112,9630,149,8/3/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,1.019,N,G,12,2019-SEP-15-001-G-12,9/15/2019
307,ADCK,327,Hungry Horse,Reference,Fish,Autochthonous,2019,8,NO,NA,48.018704,-113.585887,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,51,2,2019-AD,1.5,Ethanol,0.932,SIERRA-B-03,-30.78,525.59,6.04,85.48,Fish,0.932,1669549,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-2.351666667,5.005833333,1112,9630,149,8/3/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,0.932,N,H,2,2019-SEP-15-001-H-2,9/15/2019
308,ADCL,328,Hungry Horse,Reference,Fish,Autochthonous,2019,8,NO,NA,48.018704,-113.585887,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,70,4.3,2019-AD,1.5,Ethanol,1.045,SIERRA-B-04,-29.7,602.73,6.87,126.54,Fish,1.045,1669550,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,-1.271666667,5.835833333,1112,9630,149,8/3/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,1.045,N,H,3,2019-SEP-15-001-H-3,9/15/2019
309,ADDC,1421,Trout,Reference,Fish,Autochthonous,2019,8,NO,NA,48.68969,-113.902138,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,69,4.6,2019-AD,1.5,Ethanol,0.924,ROMEO-E-09,-25.15,429.71,5.67,125.18,Fish,0.924,1669495,50,1189,0,9.67,114,15,-23.84733333,0.548539591,1.038,0.154149587,-1.302666667,4.632,1189,114,50,8/4/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,0.924,N,H,7,2019-SEP-15-001-H-7,9/15/2019
310,ADDE,1415,Trout,Reference,Fish,Autochthonous,2019,8,NO,NA,48.68969,-113.902138,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,67,4.4,2019-AD,1.5,Ethanol,0.946,ROMEO-E-11,-29.5,663.25,6.45,118.22,Fish,0.946,1669497,50,1189,0,9.67,114,15,-23.84733333,0.548539591,1.038,0.154149587,-5.652666667,5.412,1189,114,50,8/4/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,0.946,N,H,12,2019-SEP-15-001-H-12,9/15/2019
311,ADDH,1476,Trout,Reference,Fish,Autochthonous,2019,8,NO,NA,48.68969,-113.902138,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,61,6.7,2019-AD,1.5,Ethanol,0.969,ROMEO-E-12,-23.91,475.17,6.71,128.66,Fish,0.969,1669498,50,1189,0,9.67,114,15,-23.84733333,0.548539591,1.038,0.154149587,-0.062666667,5.672,1189,114,50,8/4/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,0.969,N,H,4,2019-SEP-15-001-H-4,9/15/2019
312,ADDQ,1454,Trout,Reference,Fish,Autochthonous,2019,8,NO,NA,48.68969,-113.902138,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,69,4.1,2019-AD,1.5,Ethanol,1.029,ROMEO-E-10,-24.47,456.98,5.64,133.3,Fish,1.029,1669496,50,1189,0,9.67,114,15,-23.84733333,0.548539591,1.038,0.154149587,-0.622666667,4.602,1189,114,50,8/4/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 9:16,72,,,,NA,,NA,NA,2019-SEP-15-001,N,,,NA,1.029,N,H,9,2019-SEP-15-001-H-9,9/15/2019
313,ADF,759,Logging,Mid,Fish,Autochthonous,2018,6,NO,NA,NA,NA,NA,1,1,NA,Hook and line,Cutthroat trout,Generalist fish,Cutthroat trout,Oncorhynchus clarkii lewisi,359,319,2018-A,1.5,Ethanol,0.981,BRAVO-E-11,-28.19,444.31,8.56,141.45,Fish,0.981,1667961,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-7.038,7.574666667,1369,329,80,6/7/2018,June,Jun,16:50,NA,1,NA,0.9862,,,1.762,10/29/2018 16:41,60,10/30/2018 15:14,1.078,10/31/2018 16:25,1.076,0.19%,,1.076,0.00%,11/1/2018 16:34,72,0.0898,89.8,11/23/2018,1.076,0,0.0898,89.8,2018-NOV-21-001,N,,,NA,0.981,N,H,10,2018-NOV-21-001-H-10,11/23/2018
314,ADG,772,Logging,Mid,Fish,Autochthonous,2018,6,NO,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Kokanee,Pelagic forage fish,Kokanee,Oncorhynchus nerka,178,162,2018-A,1.5,Ethanol,0.914,BRAVO-F-02,-32.64,599.96,7.1,103.73,Fish,0.914,1667964,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-11.488,6.114666667,1369,329,80,6/7/2018,June,Jun,19:29,NA,1,NA,0.9862,,,2.494,10/29/2018 16:41,60,10/30/2018 15:14,1.217,10/31/2018 16:25,1.213,0.33%,,1.213,0.00%,11/1/2018 16:34,72,0.2268,226.8,11/23/2018,1.213,0,0.2268,226.8,2018-NOV-21-001,N,,,NA,0.914,N,H,11,2018-NOV-21-001-H-11,11/23/2018
315,ADJ,733,Logging,Mid,Fish,Autochthonous,2018,6,NO,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,315,217,2018-A,1.5,Ethanol,0.911,BRAVO-F-03,-23.8,443.24,10.96,135.65,Fish,0.911,1667965,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,-2.648,9.974666667,1369,329,80,6/13/2018,June,Jun,20:14,NA,1,NA,0.9862,,,2.388,10/29/2018 16:41,60,10/30/2018 15:14,1.174,10/31/2018 16:25,1.172,0.17%,,1.172,0.00%,11/1/2018 16:34,72,0.1858,185.8,11/23/2018,NA,1.172,-0.9862,-986.2,2018-NOV-22-002,N,,,NA,0.911,N,A,3,2018-NOV-22-002-A-3,11/23/2018
316,ADQ,336,Hungry Horse,Reference,Fish,Autochthonous,2017,10,NO,NA,NA,NA,NA,1,1,NA,Mono gill net MTFWP,Largescale sucker,Littoral forage fish,Largescale sucker,Catostomus macrocheilus,410,NA,2018-T,1.5,Water,0.968,QUEBEC-A-02,-28.11,446.7,7.27,141.07,Fish,0.968,1669344,149,1112,0,4.33,9630,12,-28.42833333,0.530524088,1.034166667,0.345315969,0.318333333,6.235833333,1112,9630,149,10/31/2017,October,Oct,NA,NA,1,NA,NA,,17CSU05,,,60,,,,NA,,,NA,,3/13/2019 14:00,,,,,NA,,NA,NA,2019-SEP-04-001,N,,,NA,0.968,N,D,5,2019-SEP-04-001-D-5,9/7/2019
317,AEAL,640,Lindbergh,Late,Fish,Autochthonous,2019,8,NO,NA,47.403939,-113.718413,NA,1,1,NA,Electrofisher,Slimy sculpin,Generalist fish,Slimy sculpin,Cottus cognatus,46,1.9,2019-AE,1.5,Ethanol,0.923,OSCAR-D-09,-31.04,497.29,5.9,85.94,Fish,0.923,1669195,36,1369,0.86,7.33,329,10,-24.007,0.534706669,0.647,0.301769043,-7.033,5.253,1369,329,36,8/11/2019,August,Aug,NA,NA,1,NA,NA,"This was the one-off e-fishing sculp, I wrote it in a random notebook. Need to find.",Found in box AE,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:37,74,,,,NA,,NA,NA,2019-OCT-26-002,N,,,NA,0.923,N,D,9,2019-OCT-26-002-D-9,10/26/2019
318,AFAA,7,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,423,1399.3,2019-AF,1.5,Ethanol,0.93,GOLF-D-05,-28.13,477.58,10.24,122.78,Fish,0.93,1668423,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-4.45375,9.42625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.93,N,F,10,2019-NOV-02-001-F-10,11/2/2019
319,AFAB,2,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,399,755.3,2019-AF,1.5,Ethanol,0.919,GOLF-D-06,-29.77,409.66,11.11,115.93,Fish,0.919,1668424,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-6.09375,10.29625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.919,N,F,11,2019-NOV-02-001-F-11,11/2/2019
320,AFAC,33,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,433,782.1,2019-AF,1.5,Ethanol,0.967,GOLF-D-07,-27.63,448.45,10.47,142.47,Fish,0.967,1668425,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-3.95375,9.65625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.967,N,F,12,2019-NOV-02-001-F-12,11/2/2019
321,AFAD,15,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Cutthroat trout,Generalist fish,Cutthroat trout,Oncorhynchus clarkii lewisi,392,676,2019-AF,1.5,Ethanol,0.91,GOLF-E-03,-24.08,447.42,6.04,133.53,Fish,0.91,1668433,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-0.40375,5.22625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.91,N,D,11,2019-NOV-02-001-D-11,11/2/2019
322,AFAE,89,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,403,612.3,2019-AF,1.5,Ethanol,0.938,GOLF-D-08,-28.74,443.6,11.11,133.35,Fish,0.938,1668426,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-5.06375,10.29625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.938,N,G,1,2019-NOV-02-001-G-1,11/2/2019
323,AFAF,63,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,533,1540.3,2019-AF,1.5,Ethanol,0.93,GOLF-D-09,-30.39,486.74,11.5,117.13,Fish,0.93,1668427,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-6.71375,10.68625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.93,N,G,2,2019-NOV-02-001-G-2,11/2/2019
324,AFAH,39,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Cutthroat trout,Generalist fish,Cutthroat trout,Oncorhynchus clarkii lewisi,274,243.3,2019-AF,1.5,Ethanol,1.092,GOLF-E-04,-29.74,567.48,7.63,147.59,Fish,1.092,1668434,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-6.06375,6.81625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,1.092,N,D,12,2019-NOV-02-001-D-12,11/2/2019
325,AFAI,81,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,545,1246,2019-AF,1.5,Ethanol,0.902,GOLF-D-10,-29.15,432.63,11.46,129.89,Fish,0.902,1668428,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-5.47375,10.64625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.902,N,G,3,2019-NOV-02-001-G-3,11/2/2019
326,AFAJ,82,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,462,809.7,2019-AF,1.5,Ethanol,0.997,GOLF-D-11,-30.05,481.35,11.5,146.13,Fish,0.997,1668429,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-6.37375,10.68625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.997,N,G,4,2019-NOV-02-001-G-4,11/2/2019
327,AFAK,56,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Cutthroat trout,Generalist fish,Cutthroat trout,Oncorhynchus clarkii lewisi,314,317.6,2019-AF,1.5,Ethanol,0.943,GOLF-E-05,-31.77,450.5,7.98,139.01,Fish,0.943,1668435,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-8.09375,7.16625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.943,N,E,1,2019-NOV-02-001-E-1,11/2/2019
328,AFAL,57,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Cutthroat trout,Generalist fish,Cutthroat trout,Oncorhynchus clarkii lewisi,356,486.9,2019-AF,1.5,Ethanol,1.074,GOLF-E-06,-26.08,538.75,7.94,148.13,Fish,1.074,1668436,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.40375,7.12625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,1.074,N,E,2,2019-NOV-02-001-E-2,11/2/2019
329,AFAM,9,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,532,1188,2019-AF,1.5,Ethanol,0.976,GOLF-D-12,-29.08,467.02,11.64,141.05,Fish,0.976,1668430,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-5.40375,10.82625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.976,N,G,5,2019-NOV-02-001-G-5,11/2/2019
330,AFAN,104,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,522,1183.5,2019-AF,1.5,Ethanol,0.909,GOLF-E-01,-31.19,461.83,11.32,118.59,Fish,0.909,1668431,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-7.51375,10.50625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,0.909,N,G,6,2019-NOV-02-001-G-6,11/2/2019
331,AFAO,24,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,618,1839.2,2019-AF,1.5,Ethanol,1.015,GOLF-E-02,-31.02,508.76,11.22,124.08,Fish,1.015,1668432,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-7.34375,10.40625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,1.015,N,G,7,2019-NOV-02-001-G-7,11/2/2019
332,AFAP,131,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,549,1413,2019-AF,1.5,Ethanol,0.963,UNIFORM-B-03,-29.37,460.98,11.55,142.89,Fish,0.963,1669741,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-5.69375,10.73625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,extra,extra,extra,extra,extra,extra,extra,extra,extra,extra-extra-extra,11/2/2019
333,AFAQ,90,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,493,1236.1,2019-AF,1.5,Ethanol,1.041,UNIFORM-B-04,-29.09,506.82,11.42,154.66,Fish,1.041,1669742,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-5.41375,10.60625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,extra,extra,extra,extra,extra,extra,extra,extra,extra,extra-extra-extra,11/2/2019
334,AFAR,58,Big Salmon,Reference,Fish,Autochthonous,2019,8,NO,NA,47.586166,-113.420207,NA,1,1,NA,Hook and line,Cutthroat trout,Generalist fish,Cutthroat trout,Oncorhynchus clarkii lewisi,268,200.1,2019-AF,1.5,Ethanol,1.021,GOLF-E-07,-26.45,500.76,6.31,150.2,Fish,1.021,1668437,42,1340,0,9.33,393,8,-23.67625,1.033736181,0.81375,0.128701447,-2.77375,5.49625,1340,393,42,8/18/2019,August,Aug,NA,NA,1,NA,NA,,,,8/26/2019 9:00,60,,,,NA,,,NA,,8/29/2019 10:08,73,,,,NA,,NA,NA,2019-NOV-02-001,N,,,NA,1.021,N,E,3,2019-NOV-02-001-E-3,11/2/2019
